n_estimators,max_depth,min_samples_leaf,recall,precision,f1,pr_auc
50,5.0,10,0.7027027027027027,0.8524590163934426,0.7703703703703704,0.7736173342554696
50,5.0,15,0.6891891891891891,0.8947368421052632,0.7786259541984732,0.7680974264237186
50,5.0,20,0.6621621621621622,0.8166666666666667,0.7313432835820896,0.7659619400511042
50,5.0,25,0.6756756756756757,0.8064516129032258,0.7352941176470589,0.759562525071315
50,10.0,10,0.7027027027027027,0.8387096774193549,0.7647058823529411,0.7930423326133426
50,10.0,15,0.7162162162162162,0.8833333333333333,0.7910447761194029,0.7805524111084698
50,10.0,20,0.7027027027027027,0.7878787878787878,0.7428571428571429,0.7736170569872263
50,10.0,25,0.7027027027027027,0.7761194029850746,0.7375886524822695,0.7623157776673505
50,20.0,10,0.7297297297297297,0.8571428571428571,0.7883211678832117,0.7996907877502664
50,20.0,15,0.7162162162162162,0.8983050847457628,0.7969924812030075,0.7851592394595442
50,20.0,20,0.6891891891891891,0.7727272727272727,0.7285714285714285,0.7766943414887331
50,20.0,25,0.7162162162162162,0.7910447761194029,0.75177304964539,0.7691779683968724
50,,10,0.7162162162162162,0.8412698412698413,0.7737226277372263,0.7981233786931163
50,,15,0.7162162162162162,0.8833333333333333,0.7910447761194029,0.785268855169067
50,,20,0.6891891891891891,0.7846153846153846,0.7338129496402878,0.7755812474602545
50,,25,0.6891891891891891,0.7846153846153846,0.7338129496402878,0.7668333290592696
100,5.0,10,0.7162162162162162,0.8548387096774194,0.7794117647058824,0.7744084632851261
100,5.0,15,0.7162162162162162,0.8548387096774194,0.7794117647058824,0.7716421791091682
100,5.0,20,0.7027027027027027,0.8253968253968254,0.7591240875912408,0.7662036587783597
100,5.0,25,0.7027027027027027,0.8125,0.7536231884057971,0.7584614967583692
100,10.0,10,0.7162162162162162,0.8412698412698413,0.7737226277372263,0.7903629128866814
100,10.0,15,0.7162162162162162,0.8412698412698413,0.7737226277372263,0.781701998589565
100,10.0,20,0.7297297297297297,0.8059701492537313,0.7659574468085106,0.7758816670971295
100,10.0,25,0.7162162162162162,0.7794117647058824,0.7464788732394366,0.7683977675363799
100,20.0,10,0.7162162162162162,0.8688524590163934,0.7851851851851852,0.7960789062288864
100,20.0,15,0.7162162162162162,0.8412698412698413,0.7737226277372263,0.7857154336540514
100,20.0,20,0.7297297297297297,0.8059701492537313,0.7659574468085106,0.7777878765085553
100,20.0,25,0.7297297297297297,0.782608695652174,0.7552447552447552,0.7720319188585856
100,,10,0.7162162162162162,0.8412698412698413,0.7737226277372263,0.7960177775804678
100,,15,0.7162162162162162,0.8412698412698413,0.7737226277372263,0.7848139304099584
100,,20,0.7297297297297297,0.8059701492537313,0.7659574468085106,0.7777668447490875
100,,25,0.7297297297297297,0.782608695652174,0.7552447552447552,0.7705729357588434
300,5.0,10,0.7162162162162162,0.8688524590163934,0.7851851851851852,0.7753334711494151
300,5.0,15,0.7297297297297297,0.8571428571428571,0.7883211678832117,0.7718640234064666
300,5.0,20,0.7297297297297297,0.8059701492537313,0.7659574468085106,0.7632976644829538
300,5.0,25,0.6891891891891891,0.7846153846153846,0.7338129496402878,0.7550816385068895
300,10.0,10,0.7162162162162162,0.8412698412698413,0.7737226277372263,0.7923464275753828
300,10.0,15,0.7162162162162162,0.8548387096774194,0.7794117647058824,0.7797879353951126
300,10.0,20,0.7297297297297297,0.7941176470588235,0.7605633802816901,0.7757864649858324
300,10.0,25,0.7162162162162162,0.7794117647058824,0.7464788732394366,0.7667352725347323
300,20.0,10,0.7162162162162162,0.8412698412698413,0.7737226277372263,0.798487810630235
300,20.0,15,0.7297297297297297,0.8571428571428571,0.7883211678832117,0.7859759193181486
300,20.0,20,0.7297297297297297,0.7941176470588235,0.7605633802816901,0.77900678388899
300,20.0,25,0.7297297297297297,0.782608695652174,0.7552447552447552,0.7683232819511343
300,,10,0.7162162162162162,0.8412698412698413,0.7737226277372263,0.7981243666652962
300,,15,0.7162162162162162,0.8548387096774194,0.7794117647058824,0.786210073046042
300,,20,0.7297297297297297,0.7941176470588235,0.7605633802816901,0.779105949132153
300,,25,0.7297297297297297,0.782608695652174,0.7552447552447552,0.7691341069995334
500,5.0,10,0.7162162162162162,0.8548387096774194,0.7794117647058824,0.7758170573458018
500,5.0,15,0.7297297297297297,0.8571428571428571,0.7883211678832117,0.7730989239448515
500,5.0,20,0.7162162162162162,0.803030303030303,0.7571428571428571,0.7641463107335923
500,5.0,25,0.6756756756756757,0.78125,0.7246376811594203,0.753445902235288
500,10.0,10,0.7162162162162162,0.8412698412698413,0.7737226277372263,0.794039887680489
500,10.0,15,0.7297297297297297,0.8571428571428571,0.7883211678832117,0.7829913092477059
500,10.0,20,0.7297297297297297,0.7941176470588235,0.7605633802816901,0.7766969110973775
500,10.0,25,0.7162162162162162,0.7910447761194029,0.75177304964539,0.7645753295714623
500,20.0,10,0.7162162162162162,0.8412698412698413,0.7737226277372263,0.7990229884088158
500,20.0,15,0.7297297297297297,0.8571428571428571,0.7883211678832117,0.7863121162990205
500,20.0,20,0.7297297297297297,0.7941176470588235,0.7605633802816901,0.7801592304385471
500,20.0,25,0.7297297297297297,0.7941176470588235,0.7605633802816901,0.7692806331784617
500,,10,0.7162162162162162,0.8412698412698413,0.7737226277372263,0.7991165816209939
500,,15,0.7162162162162162,0.8548387096774194,0.7794117647058824,0.7876154390867828
500,,20,0.7297297297297297,0.782608695652174,0.7552447552447552,0.7802152745959671
500,,25,0.7297297297297297,0.7941176470588235,0.7605633802816901,0.7688009819304116
