n_estimators,max_depth,recall,precision,f1,pr_auc,min_samples_leaf
50,5.0,0.8243243243243243,0.3630952380952381,0.5041322314049587,0.6608316648514247,10
50,5.0,0.8243243243243243,0.3609467455621302,0.5020576131687243,0.6492201279218112,15
50,5.0,0.8243243243243243,0.3609467455621302,0.5020576131687243,0.6542395700399769,20
50,5.0,0.8243243243243243,0.37423312883435583,0.5147679324894515,0.6751611946526835,25
50,10.0,0.7837837837837838,0.7341772151898734,0.7581699346405228,0.787583179659985,10
50,10.0,0.7567567567567568,0.7088607594936709,0.7320261437908496,0.7752501624372653,15
50,10.0,0.7837837837837838,0.6823529411764706,0.7295597484276729,0.7658727418000617,20
50,10.0,0.7972972972972973,0.686046511627907,0.7375,0.750568686459786,25
50,20.0,0.7702702702702703,0.7402597402597403,0.7549668874172185,0.7859495438983157,10
50,20.0,0.7567567567567568,0.7272727272727273,0.7417218543046358,0.7556130079003591,15
50,20.0,0.7837837837837838,0.7073170731707317,0.7435897435897436,0.7630198096844832,20
50,20.0,0.7702702702702703,0.7037037037037037,0.7354838709677419,0.754687809865114,25
50,,0.7702702702702703,0.75,0.76,0.7861763819454692,10
50,,0.7567567567567568,0.7272727272727273,0.7417218543046358,0.756028564507353,15
50,,0.7837837837837838,0.7160493827160493,0.7483870967741936,0.762289189218421,20
50,,0.7702702702702703,0.7037037037037037,0.7354838709677419,0.754687809865114,25
100,5.0,0.8243243243243243,0.39869281045751637,0.5374449339207048,0.6531633560509991,10
100,5.0,0.8108108108108109,0.4,0.5357142857142857,0.6457695318365189,15
100,5.0,0.8243243243243243,0.3961038961038961,0.5350877192982456,0.6549429762923832,20
100,5.0,0.8243243243243243,0.41496598639455784,0.5520361990950227,0.6606706890364622,25
100,10.0,0.7702702702702703,0.7402597402597403,0.7549668874172185,0.7790095002140685,10
100,10.0,0.7702702702702703,0.7125,0.7402597402597403,0.7435775032244878,15
100,10.0,0.7702702702702703,0.6951219512195121,0.7307692307692307,0.7360895510842449,20
100,10.0,0.7702702702702703,0.7037037037037037,0.7354838709677419,0.7496957641868524,25
100,20.0,0.7567567567567568,0.7567567567567568,0.7567567567567568,0.7798833180464109,10
100,20.0,0.7702702702702703,0.7125,0.7402597402597403,0.756788045000403,15
100,20.0,0.7837837837837838,0.7160493827160493,0.7483870967741936,0.7499937917192205,20
100,20.0,0.7972972972972973,0.7108433734939759,0.7515923566878981,0.7508511819758459,25
100,,0.7567567567567568,0.7567567567567568,0.7567567567567568,0.7813264657792335,10
100,,0.7702702702702703,0.7125,0.7402597402597403,0.7574227448794628,15
100,,0.7702702702702703,0.7125,0.7402597402597403,0.749419533879764,20
100,,0.7972972972972973,0.7108433734939759,0.7515923566878981,0.7508511819758459,25
300,5.0,0.8243243243243243,0.40397350993377484,0.5422222222222223,0.6774809791698067,10
300,5.0,0.8243243243243243,0.41496598639455784,0.5520361990950227,0.6504221715332973,15
300,5.0,0.8243243243243243,0.4206896551724138,0.5570776255707762,0.6601794795417816,20
300,5.0,0.8243243243243243,0.4178082191780822,0.5545454545454546,0.661467762317687,25
300,10.0,0.7702702702702703,0.7307692307692307,0.75,0.7686250919453679,10
300,10.0,0.7702702702702703,0.7125,0.7402597402597403,0.7317785734321225,15
300,10.0,0.7702702702702703,0.7037037037037037,0.7354838709677419,0.713496968537409,20
300,10.0,0.7702702702702703,0.7037037037037037,0.7354838709677419,0.7304777828778675,25
300,20.0,0.7702702702702703,0.75,0.76,0.7806203849287928,10
300,20.0,0.7702702702702703,0.7125,0.7402597402597403,0.7348610332846417,15
300,20.0,0.7702702702702703,0.7037037037037037,0.7354838709677419,0.7204270427980473,20
300,20.0,0.7702702702702703,0.6951219512195121,0.7307692307692307,0.7300955021104257,25
300,,0.7567567567567568,0.7466666666666667,0.7516778523489933,0.780615734025514,10
300,,0.7702702702702703,0.7125,0.7402597402597403,0.7350253062115772,15
300,,0.7702702702702703,0.7037037037037037,0.7354838709677419,0.7207556628778933,20
300,,0.7702702702702703,0.6951219512195121,0.7307692307692307,0.7300820542090519,25
500,5.0,0.8108108108108109,0.410958904109589,0.5454545454545454,0.6762550493373283,10
500,5.0,0.8108108108108109,0.41379310344827586,0.547945205479452,0.6693677345181962,15
500,5.0,0.8243243243243243,0.41216216216216217,0.5495495495495496,0.6563818730685785,20
500,5.0,0.8243243243243243,0.40397350993377484,0.5422222222222223,0.6604475218656044,25
500,10.0,0.7702702702702703,0.7307692307692307,0.75,0.7732608928493852,10
500,10.0,0.7702702702702703,0.7037037037037037,0.7354838709677419,0.7193521693895577,15
500,10.0,0.7702702702702703,0.7037037037037037,0.7354838709677419,0.6908090007336603,20
500,10.0,0.7837837837837838,0.7073170731707317,0.7435897435897436,0.7026530565892439,25
500,20.0,0.7567567567567568,0.7466666666666667,0.7516778523489933,0.7807646699915113,10
500,20.0,0.7702702702702703,0.7215189873417721,0.7450980392156863,0.7219268617262449,15
500,20.0,0.7702702702702703,0.7125,0.7402597402597403,0.7087476420066173,20
500,20.0,0.7702702702702703,0.6951219512195121,0.7307692307692307,0.7115726059372034,25
500,,0.7567567567567568,0.7466666666666667,0.7516778523489933,0.7803316134326775,10
500,,0.7702702702702703,0.7125,0.7402597402597403,0.7228752905883352,15
500,,0.7702702702702703,0.7125,0.7402597402597403,0.7133247145085074,20
500,,0.7702702702702703,0.6951219512195121,0.7307692307692307,0.7116157573992288,25
