features,recall,precision,f1,n_features
"['V12', 'V14', 'V4', 'V10']",0.9285714285714286,0.05726872246696035,0.1078838174273859,4
"['V12', 'V14', 'V4', 'V1', 'V3']",0.9285714285714286,0.05100896860986547,0.09670563230605739,5
"['V12', 'V14', 'V4', 'V1', 'V2']",0.9285714285714286,0.05202973127501429,0.09853817000541419,5
"['V12', 'V14', 'V4', 'V21']",0.9285714285714286,0.051066217732884396,0.09680851063829787,4
"['V12', 'V14', 'V4', 'V20']",0.9285714285714286,0.050980392156862744,0.09665427509293681,4
"['V12', 'V14', 'V4', 'V19']",0.9285714285714286,0.05066815144766147,0.09609292502639916,4
"['V12', 'V14', 'V4', 'V18']",0.9285714285714286,0.050387596899224806,0.09558823529411764,4
"['V12', 'V14', 'V4', 'V17']",0.9285714285714286,0.051181102362204724,0.09701492537313433,4
"['V12', 'V14', 'V4', 'V11']",0.9285714285714286,0.05501813784764208,0.10388127853881278,4
"['V12', 'V14', 'V4', 'V9']",0.9285714285714286,0.05103757711721817,0.09675704412546518,4
"['V12', 'V14', 'V4', 'V1', 'V2', 'V19']",0.9285714285714286,0.05188141391106044,0.09827213822894168,6
"['V12', 'V14', 'V4', 'V8']",0.9285714285714286,0.0509518477043673,0.09660297239915075,4
"['V12', 'V14', 'V4', 'V7']",0.9285714285714286,0.050555555555555555,0.0958904109589041,4
"['V12', 'V14', 'V4', 'V6']",0.9285714285714286,0.051066217732884396,0.09680851063829787,4
"['V12', 'V14', 'V4', 'V5']",0.9285714285714286,0.050137741046831955,0.09513852587558808,4
"['V12', 'V14', 'V4', 'V3']",0.9285714285714286,0.04881974248927039,0.09276248725790011,4
"['V12', 'V14', 'V4', 'V2']",0.9285714285714286,0.05188141391106044,0.09827213822894168,4
"['V12', 'V14', 'V4', 'V1']",0.9285714285714286,0.052510098095787654,0.099399235390497,4
"['V12', 'V14', 'V4']",0.9285714285714286,0.05103757711721817,0.09675704412546518,3
"['V12', 'V14', 'V4', 'V1', 'V5']",0.9285714285714286,0.05044345898004435,0.09568874868559411,5
"['V12', 'V14', 'V4', 'V1', 'V6']",0.9285714285714286,0.051209904333145755,0.09706666666666666,5
"['V12', 'V14', 'V4', 'V1', 'V7']",0.9285714285714286,0.05132543711223914,0.09727418492784608,5
"['V12', 'V14', 'V4', 'V1', 'V8']",0.9285714285714286,0.051094890510948905,0.09686003193187866,5
"['V12', 'V14', 'V4', 'V1', 'V2', 'V18']",0.9285714285714286,0.05155807365439093,0.09769189479334407,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V17']",0.9285714285714286,0.051763367463026164,0.0980603448275862,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V11']",0.9285714285714286,0.05737704918032787,0.10807600950118765,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V10']",0.9285714285714286,0.057741116751269035,0.1087216248506571,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V9']",0.9285714285714286,0.052148997134670486,0.09875203472599023,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V8']",0.9285714285714286,0.05144149236856981,0.09748259239421532,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V7']",0.9285714285714286,0.05129650507328072,0.09722222222222222,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V6']",0.9285714285714286,0.05100896860986547,0.09670563230605739,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V5']",0.9285714285714286,0.050980392156862744,0.09665427509293681,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3']",0.9285714285714286,0.05161656267725468,0.09779688339602365,6
"['V12', 'V14', 'V4', 'V1', 'V21']",0.9285714285714286,0.05188141391106044,0.09827213822894168,5
"['V12', 'V14', 'V4', 'V1', 'V20']",0.9285714285714286,0.052479815455594,0.09934497816593886,5
"['V12', 'V14', 'V4', 'V1', 'V19']",0.9285714285714286,0.051822323462414575,0.09816612729234088,5
"['V12', 'V14', 'V4', 'V1', 'V18']",0.9285714285714286,0.05112359550561798,0.09691160809371673,5
"['V12', 'V14', 'V4', 'V1', 'V17']",0.9285714285714286,0.05161656267725468,0.09779688339602365,5
"['V12', 'V14', 'V4', 'V1', 'V11']",0.9285714285714286,0.05788804071246819,0.1089820359281437,5
"['V12', 'V14', 'V4', 'V1', 'V9']",0.9285714285714286,0.0523590333716916,0.09912854030501089,5
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V18']",0.9285714285714286,0.04868913857677903,0.09252669039145907,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V8']",0.9285714285714286,0.05103757711721817,0.09675704412546518,7
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V20']",0.9285714285714286,0.04908306364617044,0.0932377049180328,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V18']",0.9285714285714286,0.0574857864813645,0.10826888756692445,14
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V21']",0.9285714285714286,0.047420531526836895,0.090233019335647,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10']",0.9285714285714286,0.05495169082125604,0.10376282782212087,12
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V17', 'V18', 'V19', 'V16', 'V21']",0.9285714285714286,0.05825864276568502,0.10963855421686747,18
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V17', 'V19']",0.9285714285714286,0.0582213691618682,0.10957254665863937,15
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V11']",0.9285714285714286,0.05337243401759531,0.100942872989462,12
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V16']",0.9285714285714286,0.05086640581330352,0.09644939056703762,12
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V18']",0.9285714285714286,0.048352816153028694,0.09191919191919191,12
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V19']",0.9285714285714286,0.047769028871391075,0.090863704443335,12
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V20']",0.9285714285714286,0.04845580404685836,0.09210526315789473,12
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V21']",0.9285714285714286,0.04747000521648409,0.09032258064516129,12
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11']",0.9285714285714286,0.05627705627705628,0.10612244897959183,13
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V17']",0.9285714285714286,0.05631188118811881,0.10618436406067679,13
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V17', 'V18', 'V19', 'V16', 'V20']",0.9285714285714286,0.059907834101382486,0.11255411255411256,18
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V17', 'V18', 'V19', 'V21']",0.9285714285714286,0.058146964856230034,0.10944076969332532,17
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V17', 'V18', 'V19', 'V20']",0.9285714285714286,0.05955497382198953,0.11193111931119311,17
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V17', 'V18', 'V19', 'V16']",0.9285714285714286,0.05889967637540453,0.11077297626293366,17
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V17', 'V20']",0.9285714285714286,0.05893782383419689,0.11084043848964677,15
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V17', 'V18', 'V21']",0.9285714285714286,0.058184143222506396,0.1095066185318893,16
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V17', 'V18', 'V20']",0.9285714285714286,0.05943827563683867,0.11172498465316145,16
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V18']",0.9285714285714286,0.05627705627705628,0.10612244897959183,13
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V19']",0.9285714285714286,0.05498489425981873,0.1038220193953223,13
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V20']",0.9285714285714286,0.055896805896805894,0.10544611819235226,13
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V17', 'V18', 'V19']",0.9285714285714286,0.05893782383419689,0.11084043848964677,16
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V17', 'V21']",0.9285714285714286,0.0574857864813645,0.10826888756692445,15
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V21']",0.9285714285714286,0.0540701128936423,0.10218978102189781,13
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V17']",0.9285714285714286,0.057777777777777775,0.1087866108786611,14
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V17']",0.9285714285714286,0.04845580404685836,0.09210526315789473,12
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V17', 'V18']",0.9285714285714286,0.05878552971576227,0.11057108140947752,15
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V19']",0.9285714285714286,0.0566272557560672,0.10674486803519062,14
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V20']",0.9285714285714286,0.04848161960575386,0.09215189873417722,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V20']",0.9285714285714286,0.05759493670886076,0.10846245530393325,14
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V21']",0.9285714285714286,0.048585157501334755,0.09233891425672247,10
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V19']",0.9285714285714286,0.047594142259414225,0.09054726368159204,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V11']",0.9285714285714286,0.05343511450381679,0.10105496946141032,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V16']",0.9285714285714286,0.051209904333145755,0.09706666666666666,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V10']",0.9285714285714286,0.055051421657592255,0.10394060536836093,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V17']",0.9285714285714286,0.04837852206273259,0.0919656392117231,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V18']",0.9285714285714286,0.04840425531914894,0.09201213346814964,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9']",0.9285714285714286,0.04843001596593933,0.09205867475973697,11
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V21']",0.9285714285714286,0.05548780487804878,0.1047180667433832,14
"['V12', 'V14', 'V4', 'V16']",0.9183673469387755,0.05328596802841918,0.10072747621712368,4
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V16']",0.9183673469387755,0.05113636363636364,0.0968783638320775,8
"['V12', 'V14', 'V4', 'V1', 'V16']",0.9183673469387755,0.05322294500295683,0.10061486864169927,5
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V17', 'V18', 'V16']",0.9183673469387755,0.05758157389635317,0.10836845273931367,16
"['V12', 'V14', 'V4', 'V1', 'V2', 'V16']",0.9183673469387755,0.05344418052256532,0.10101010101010101,6
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V16']",0.9183673469387755,0.054945054945054944,0.10368663594470046,14
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V16']",0.9183673469387755,0.0545785324439054,0.10303377218088151,13
"['V12', 'V14', 'V4', 'V1', 'V2', 'V3', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V17', 'V16']",0.9183673469387755,0.05754475703324808,0.10830324909747292,15
"['V12', 'V14', 'V4', 'V1', 'V10']",0.9183673469387755,0.05667506297229219,0.10676156583629894,5
"['V3', 'V4', 'V14']",0.9183673469387755,0.043478260869565216,0.08302583025830258,3
"['V3', 'V4', 'V10']",0.9081632653061225,0.04911699779249448,0.09319371727748692,3
"['V2', 'V4', 'V14']",0.9081632653061225,0.0430159497341711,0.08214120904476234,3
"['V2', 'V12', 'V14']",0.9081632653061225,0.06025727826675694,0.11301587301587301,3
"['V12', 'V14', 'V2']",0.9081632653061225,0.06025727826675694,0.11301587301587301,3
"['V12', 'V14', 'V21']",0.8979591836734694,0.0625,0.11686586985391766,3
"['V3', 'V4', 'V12']",0.8979591836734694,0.032424465733235076,0.06258890469416785,3
"['V2', 'V4', 'V10']",0.8979591836734694,0.046194225721784776,0.08786819770344484,3
"['V2', 'V4', 'V11']",0.8979591836734694,0.02601241501625776,0.05056018385521402,3
"['V12', 'V14', 'V20']",0.8979591836734694,0.061971830985915494,0.11594202898550725,3
"['V12', 'V14', 'V11']",0.8979591836734694,0.06184118060435699,0.11571334648257725,3
"['V1', 'V8', 'V14']",0.8979591836734694,0.04638903531892462,0.08822055137844612,3
"['V1', 'V4', 'V10']",0.8979591836734694,0.044602128737962494,0.08498309995171414,3
"['V12', 'V14', 'V19']",0.8979591836734694,0.06267806267806268,0.11717709720372836,3
"['V1', 'V4', 'V11']",0.8979591836734694,0.026586102719033233,0.051643192488262914,3
"['V12', 'V14', 'V18']",0.8979591836734694,0.060068259385665526,0.1126039667306462,3
"['V1', 'V4', 'V14']",0.8979591836734694,0.04435483870967742,0.0845341018251681,3
"['V12', 'V14', 'V17']",0.8979591836734694,0.05902079141515761,0.11076148521082442,3
"['V2', 'V10', 'V14']",0.8979591836734694,0.05949966193373901,0.11160431198478123,3
"['V12', 'V14', 'V8']",0.8979591836734694,0.057291666666666664,0.10771113831089352,3
"['V12', 'V14', 'V1']",0.8979591836734694,0.05913978494623656,0.11097099621689786,3
"['V1', 'V12', 'V14']",0.8979591836734694,0.05913978494623656,0.11097099621689786,3
"['V12', 'V14', 'V10']",0.8979591836734694,0.0682699767261443,0.12689257390050468,3
"['V1', 'V10', 'V14']",0.8979591836734694,0.05827814569536424,0.10945273631840796,3
"['V12', 'V14', 'V5']",0.8979591836734694,0.05482866043613707,0.10334703464474457,3
"['V12', 'V14', 'V7']",0.8979591836734694,0.06281227694503926,0.11741160773849232,3
"['V12', 'V14', 'V6']",0.8979591836734694,0.06245564229950319,0.11678832116788321,3
"['V3', 'V12', 'V18']",0.8877551020408163,0.027698185291308502,0.05372028403828342,3
"['V1', 'V2', 'V14']",0.8877551020408163,0.047128927410617555,0.08950617283950617,3
"['V1', 'V7', 'V14']",0.8877551020408163,0.05011520737327189,0.09487459105779716,3
"['V1', 'V14', 'V18']",0.8877551020408163,0.048360200111172875,0.09172377438060095,3
"['V1', 'V14', 'V17']",0.8877551020408163,0.053836633663366336,0.10151691948658109,3
"['V1', 'V14', 'V16']",0.8877551020408163,0.05631067961165048,0.10590383444917834,3
"['V12', 'V14', 'V16']",0.8877551020408163,0.06473214285714286,0.12066574202496533,3
"['V1', 'V3', 'V4']",0.8877551020408163,0.02561837455830389,0.04979965655409273,3
"['V3', 'V12', 'V19']",0.8877551020408163,0.029501525940996948,0.057105349524122086,3
"['V2', 'V8', 'V14']",0.8877551020408163,0.047723532638507954,0.09057782404997397,3
"['V3', 'V14', 'V16']",0.8877551020408163,0.060291060291060294,0.11291369240752758,3
"['V12', 'V14', 'V3']",0.8877551020408163,0.05894308943089431,0.11054637865311309,3
"['V2', 'V14', 'V16']",0.8877551020408163,0.058546433378196504,0.10984848484848485,3
"['V3', 'V7', 'V14']",0.8877551020408163,0.05363748458692972,0.10116279069767442,3
"['V1', 'V4', 'V12']",0.8877551020408163,0.025210084033613446,0.04902789518174133,3
"['V1', 'V3', 'V14']",0.8877551020408163,0.04844097995545657,0.09186906019007392,3
"['V3', 'V12', 'V14']",0.8877551020408163,0.05894308943089431,0.11054637865311309,3
"['V1', 'V5', 'V14']",0.8877551020408163,0.0441400304414003,0.08409859835669406,3
"['V3', 'V4', 'V9']",0.8877551020408163,0.024220489977728285,0.04715447154471545,3
"['V2', 'V3', 'V4']",0.8877551020408163,0.024751066856330012,0.04815942430113479,3
"['V3', 'V8', 'V14']",0.8877551020408163,0.04782847718526663,0.09076682316118936,3
"['V1', 'V9', 'V14']",0.8877551020408163,0.05846774193548387,0.10970996216897856,3
