n_estimators,max_depth,recall,precision,f1,pr_auc
50,,0.8163265306122449,0.7920792079207921,0.8040201005025126,0.8267426129207122
50,20.0,0.826530612244898,0.7941176470588235,0.81,0.8265337066564359
50,10.0,0.8571428571428571,0.7433628318584071,0.7962085308056872,0.8141373238732091
300,20.0,0.8367346938775511,0.7592592592592593,0.7961165048543689,0.8090452252456894
300,,0.8367346938775511,0.7592592592592593,0.7961165048543689,0.8089709347073827
100,20.0,0.8367346938775511,0.7735849056603774,0.803921568627451,0.8078757799583103
100,,0.8367346938775511,0.7735849056603774,0.803921568627451,0.8077283512345168
500,20.0,0.8367346938775511,0.7522935779816514,0.7922705314009661,0.8060195116951739
500,,0.8367346938775511,0.7522935779816514,0.7922705314009661,0.8057246924320521
300,10.0,0.8367346938775511,0.7130434782608696,0.7699530516431925,0.8051869961179369
500,10.0,0.8367346938775511,0.7321428571428571,0.780952380952381,0.8038398602609376
100,10.0,0.8469387755102041,0.7280701754385965,0.7830188679245284,0.7986542389707285
50,5.0,0.8877551020408163,0.3283018867924528,0.4793388429752066,0.7435935254272787
100,5.0,0.8877551020408163,0.375,0.5272727272727272,0.7427699686748063
500,5.0,0.8877551020408163,0.3551020408163265,0.5072886297376094,0.7162811313734285
300,5.0,0.8877551020408163,0.36401673640167365,0.516320474777448,0.7098237745887853
